grade,lessonId,cardId,subject,lessonTitle,text,profile,expectedObjectKey,expectedR2Url
1,461,2081,english,Hello! Hi!,"Say Hello!. Khi gặp ai, em nói ""Hello!"" hoặc ""Hi!"" để chào nhé!",en-v1,audio/tts/assets/en-v1/lesson-card-2081.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2081.mp3
1,461,2082,english,Hello! Hi!,Cách chào. Hello! bằng Xin chào! Hi! bằng Chào! Bye bye! bằng Tạm biệt! Goodbye! bằng Tạm biệt!,en-v1,audio/tts/assets/en-v1/lesson-card-2082.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2082.mp3
1,461,2083,english,Hello! Hi!,Hội thoại mẫu. - Hello! - Hi! - Bye bye! - Goodbye!,en-v1,audio/tts/assets/en-v1/lesson-card-2083.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2083.mp3
1,461,2084,english,Hello! Hi!,"Mẹo nhớ. Mỗi sáng thức dậy, nói ""Hello!"" với bố mẹ nhé!",en-v1,audio/tts/assets/en-v1/lesson-card-2084.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2084.mp3
1,462,2085,english,Letters A-F,ABC Song. Bảng chữ cái tiếng Anh có 26 chữ. Hôm nay học 6 chữ đầu!,en-v1,audio/tts/assets/en-v1/lesson-card-2085.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2085.mp3
1,462,2086,english,Letters A-F,6 chữ cái đầu. A bằng a (ây) B bằng b (bi) C bằng c (xi) D bằng d (đi) E bằng e (i) F bằng f (ép-phờ),en-v1,audio/tts/assets/en-v1/lesson-card-2086.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2086.mp3
1,462,2087,english,Letters A-F,Từ bắt đầu bằng.... A → Apple B → Ball C → Cat D → Dog E → Egg F → Fish,en-v1,audio/tts/assets/en-v1/lesson-card-2087.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2087.mp3
1,462,2088,english,Letters A-F,"Mẹo nhớ. Hát: ""A B C D E F... "" mỗi ngày!",en-v1,audio/tts/assets/en-v1/lesson-card-2088.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2088.mp3
1,463,2089,english,Letters G-L,Tiếp tục ABC!. Học thêm 6 chữ cái tiếp theo nhé!,en-v1,audio/tts/assets/en-v1/lesson-card-2089.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2089.mp3
1,463,2090,english,Letters G-L,Chữ G đến L. G bằng g (ji) H bằng h (ết-chờ) I bằng i (ai) J bằng j (jây) K bằng k (kây) L bằng l (eo),en-v1,audio/tts/assets/en-v1/lesson-card-2090.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2090.mp3
1,463,2091,english,Letters G-L,Từ bắt đầu bằng.... G → Girl H → House I → Ice cream J → Juice K → Kite L → Lion,en-v1,audio/tts/assets/en-v1/lesson-card-2091.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2091.mp3
1,463,2092,english,Letters G-L,"Mẹo nhớ. Tìm đồ vật quanh nhà bắt đầu bằng G, H, I, J, K, L!",en-v1,audio/tts/assets/en-v1/lesson-card-2092.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2092.mp3
1,464,2093,english,Letters M-R,Gần xong bảng chữ cái!. Chỉ còn 14 chữ nữa thôi. Học 6 chữ hôm nay!,en-v1,audio/tts/assets/en-v1/lesson-card-2093.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2093.mp3
1,464,2094,english,Letters M-R,Chữ M đến R. M bằng m (em) N bằng n (en) O bằng o (âu) P bằng p (pi) Q bằng q (kiu) R bằng r (a-rờ),en-v1,audio/tts/assets/en-v1/lesson-card-2094.mp3,https://pub-e3dfe5c479f44fbc906aae6c475603db.r2.dev/audio/tts/assets/en-v1/lesson-card-2094.mp3
